COD_FACTURA,DATE_FACTURA,DESC_PRODUCTE,COD_PROVEIDOR,F_QUANTITAT,F_IVA,F_PREU_SENSE_IVA_UNITAT,F_PVP_UNITAT,F_TOTAL_SENSE_IVA,F_PVP_TOTAL
FRA 278,2023-04-14,COCA SAN JOAN,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 277,2023-04-14,75176 MARCO BLANCO,CREAL,2,0.21,1.19,1.5,2.37,3.0
FRA 277,2023-04-14,75403 C. NIÑA,CREAL,1,0.21,1.58,2.0,1.58,2.0
FRA 277,2023-04-14,CUADRO OVALADO,CREAL,1,0.21,1.74,2.2,1.74,2.2
FRA 277,2023-04-14,79717 CORNISA,CREAL,2,0.21,2.29,2.9,4.58,5.8
FRA 277,2023-04-14,79690 ZÓCALO,CREAL,2,0.21,1.9,2.4,3.79,4.8
FRA 276,2023-04-14,BOSSA ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 276,2023-04-14,72850 MAQ. COSIR,CREAL,1,0.21,7.9,10.0,7.9,10.0
FRA 276,2023-04-14,75003 CAIXA BOBINES,CREAL,1,0.21,3.79,4.8,3.79,4.8
FRA 276,2023-04-14,75002 CAIXA FILS,CREAL,1,0.21,2.45,3.1,2.45,3.1
FRA 276,2023-04-14,75004 CAIXA CINTES,CREAL,1,0.21,2.13,2.7,2.13,2.7
FRA 276,2023-04-14,BEF028 MANIQUÍ,STREETS AHEAD,1,0.21,4.42,5.6,4.42,5.6
FRA 276,2023-04-14,72860 PLANXA,CREAL,1,0.21,1.34,1.7,1.34,1.7
FRA 276,2023-04-14,TISORES,VARIS,1,0.21,0.4,0.5,0.4,0.5
FRA 276,2023-04-14,CISTLLA,CREAL,1,0.21,1.66,2.1,1.66,2.1
FRA 275,2023-04-14,BOSSA ,BOSSES,1,0.21,0.16,0.2,0.16,0.2
FRA 275,2023-04-14,BAGUL,CREAL,1,0.21,10.23,12.95,10.23,12.95
FRA 275,2023-04-14,28017 CONJ. MENJADOR,CREAL,1,0.21,37.92,48.0,37.92,48.0
FRA 274,2023-04-13,TRINEU,STREETS AHEAD,1,0.21,2.77,3.5,2.77,3.5
FRA 274,2023-04-13,ESTANTERIA ESTRETA OBERTA,ALLAU,1,0.21,11.06,14.0,11.06,14.0
FRA 274,2023-04-13,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 273,2023-04-12,879847,CREAL,3,0.21,3.24,4.1,9.72,12.299999999999999
FRA 273,2023-04-12,DIY353C,STREETS AHEAD,1,0.21,2.37,3.0,2.37,3.0
FRA 273,2023-04-12,879920,CREAL,1,0.21,2.77,3.5,2.77,3.5
FRA 273,2023-04-12,CHINOISERIES,VARIS,3,0.21,3.71,4.7,11.14,14.100000000000001
FRA 273,2023-04-12,MOQUETA LILA,STREETS AHEAD,1,0.21,3.87,4.9,3.87,4.9
FRA 273,2023-04-12,879901,CREAL,1,0.21,3.71,4.7,3.71,4.7
FRA 273,2023-04-12,87998,CREAL,2,0.21,5.85,7.4,11.69,14.8
FRA 273,2023-04-12,PAPER RAJOLA,W&M,15,0.21,3.63,4.6,54.51,69.0
FRA 272,2023-04-12,BOSSA ,BOSSES,1,0.21,0.16,0.2,0.16,0.2
FRA 272,2023-04-12,MOQUETA VERDA,STOCK DRAP,1,0.21,10.27,13.0,10.27,13.0
FRA 272,2023-04-12,MOQUETA GRIS,STOCK DRAP,1,0.21,10.27,13.0,10.27,13.0
FRA 272,2023-04-12,DIY763A,STREETS AHEAD,2,0.21,5.06,6.4,10.11,12.8
FRA 272,2023-04-12,RAJOLA NEGRA,W&M,2,0.21,3.56,4.5,7.11,9.0
FRA 272,2023-04-12,22708 TIRADORS FUSTA,VEGA,1,0.21,1.19,1.5,1.19,1.5
FRA 272,2023-04-12,D1807 CUBELL PEDAL,STREETS AHEAD,1,0.21,3.56,4.5,3.56,4.5
FRA 272,2023-04-12,DIY664 PICA RODONA,STREETS AHEAD,2,0.21,3.79,4.8,7.58,9.6
FRA 271,2023-04-11,MANDONGUILLES PLAT BLANC,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 271,2023-04-11,CALAMARS PLAT BLANC,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 271,2023-04-11,CREMA CATALANA,CAROL,1,0.21,7.51,9.5,7.51,9.5
FRA 271,2023-04-11,LLAUNA CONSERVA,STREETS AHEAD,3,0.21,0.79,1.0,2.37,3.0
FRA 271,2023-04-11,MOBLE MOSTRADOR CAOBA,STREETS AHEAD,1,0.21,11.06,14.0,11.06,14.0
FRA 270,2023-04-11,PECES EXTRES FINESTRES DESPATX,ALLAU,1,0.21,14.22,18.0,14.22,18.0
FRA 270,2023-04-11,SUPORT PLAT,STOCK DRAP,1,0.21,1.26,1.6,1.26,1.6
FRA 270,2023-04-11,BUST DIANA,AZTEC,1,0.21,9.88,12.5,9.88,12.5
FRA 270,2023-04-11,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 269,2023-04-11,PECES EXTRES FINESTRA GÜELL,ALLAU,1,0.21,31.6,40.0,31.6,40.0
FRA 269,2023-04-11,TELA,VARIS,1,0.21,1.42,1.8,1.42,1.8
FRA 269,2023-04-11,AMERICANA,CHOPO,1,0.21,3.63,4.6,3.63,4.6
FRA 269,2023-04-11,MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 268,2023-04-11,71132 PLANXA,CREAL,1,0.21,1.03,1.3,1.03,1.3
FRA 268,2023-04-11,BEF223 CADIRA,STREETS AHEAD,1,0.21,10.67,13.5,10.67,13.5
FRA 268,2023-04-11,TRANSISTOR,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 267,2023-04-11,BOSSA ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 267,2023-04-11,ESTANT PARET JACOMINIS,JACOMINIS,1,0.21,12.32,15.6,12.32,15.6
FRA 267,2023-04-11,2213 FANAL LED,CREAL,1,0.21,16.98,21.5,16.98,21.5
FRA 266,2023-04-04,CASA PORCHE,ALLAU,1,0.21,11.02,13.95,11.02,13.95
FRA 266,2023-04-04,ESTRIS LLAR DE FOC,CREAL,1,0.21,14.22,18.0,14.22,18.0
FRA 266,2023-04-04,DF563,STREETS AHEAD,1,0.21,9.88,12.5,9.88,12.5
FRA 266,2023-04-04,DF563,STREETS AHEAD,1,0.21,9.88,12.5,9.88,12.5
FRA 266,2023-04-04,4356,STREETS AHEAD,1,0.21,15.8,20.0,15.8,20.0
FRA 266,2023-04-04,4356,STREETS AHEAD,1,0.21,15.8,20.0,15.8,20.0
FRA 266,2023-04-04,FORMATGES,CAROL,1,0.21,6.32,8.0,6.32,8.0
FRA 266,2023-04-04,COPES GELAT VIDRE,CREAL,1,0.21,4.66,5.9,4.66,5.9
FRA 266,2023-04-04,77275,CREAL,1,0.21,5.93,7.5,5.93,7.5
FRA 266,2023-04-04,72382,CREAL,1,0.21,4.19,5.3,4.19,5.3
FRA 266,2023-04-04,72382,CREAL,1,0.21,4.19,5.3,4.19,5.3
FRA 266,2023-04-04,70620,CREAL,1,0.21,1.58,2.0,1.58,2.0
FRA 266,2023-04-04,73001,CREAL,1,0.21,1.5,1.9,1.5,1.9
FRA 266,2023-04-04,70550,CREAL,1,0.21,1.82,2.3,1.82,2.3
FRA 266,2023-04-04,D123,STREETS AHEAD,1,0.21,1.5,1.9,1.5,1.9
FRA 266,2023-04-04,76680,CREAL,1,0.21,13.04,16.5,13.04,16.5
FRA 266,2023-04-04,D2305,STREETS AHEAD,1,0.21,1.9,2.4,1.9,2.4
FRA 266,2023-04-04,4053,STREETS AHEAD,1,0.21,12.25,15.5,12.25,15.5
FRA 266,2023-04-04,5550,STREETS AHEAD,1,0.21,4.5,5.7,4.5,5.7
FRA 266,2023-04-04,6553,STREETS AHEAD,1,0.21,12.88,16.3,12.88,16.3
FRA 266,2023-04-04,5947,STREETS AHEAD,1,0.21,5.29,6.7,5.29,6.7
FRA 266,2023-04-04,5550,STREETS AHEAD,1,0.21,4.5,5.7,4.5,5.7
FRA 266,2023-04-04,D2199,STREETS AHEAD,1,0.21,4.9,6.2,4.9,6.2
FRA 266,2023-04-04,5929,STREETS AHEAD,1,0.21,5.61,7.1,5.61,7.1
FRA 266,2023-04-04,5929,STREETS AHEAD,1,0.21,5.61,7.1,5.61,7.1
FRA 266,2023-04-04,D2258,STREETS AHEAD,1,0.21,2.13,2.7,2.13,2.7
FRA 266,2023-04-04,71360,CREAL,1,0.21,1.5,1.9,1.5,1.9
FRA 266,2023-04-04,D2219,STREETS AHEAD,1,0.21,4.9,6.2,4.9,6.2
FRA 266,2023-04-04,D2219,STREETS AHEAD,1,0.21,4.9,6.2,4.9,6.2
FRA 266,2023-04-04,GALETES NADAL,CAROL,1,0.21,9.48,12.0,9.48,12.0
FRA 266,2023-04-04,CASITA GENGIBRE,CAROL,1,0.21,12.64,16.0,12.64,16.0
FRA 266,2023-04-04,CAJA POLVORONES,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 266,2023-04-04,70473,CREAL,1,0.21,5.85,7.4,5.85,7.4
FRA 266,2023-04-04,73001,CREAL,1,0.21,1.5,1.9,1.5,1.9
FRA 266,2023-04-04,DF1498,STREETS AHEAD,1,0.21,9.16,11.6,9.16,11.6
FRA 266,2023-04-04,BEF006,STREETS AHEAD,1,0.21,12.96,16.4,12.96,16.4
FRA 266,2023-04-04,PROTECTOR LLAR FOC,STREETS AHEAD,1,0.21,4.74,6.0,4.74,6.0
FRA 265,2023-04-04,ARTIS,DAYKA,1,0.21,3.63,4.6,3.63,4.6
FRA 265,2023-04-04,ESTANTERIA LLIBRES (X3),ALLAU,1,0.21,31.6,40.0,31.6,40.0
FRA 265,2023-04-04,MONTATGE,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 264,2023-04-04,GUITARRA ROCK,STREETS AHEAD,1,0.21,12.32,15.6,12.32,15.6
FRA 263,2023-04-04,BARROTS PORXO,VEGA,1,0.21,6.64,8.4,6.64,8.4
FRA 263,2023-04-04,BUST MOZART,CREAL,1,0.21,9.48,12.0,9.48,12.0
FRA 263,2023-04-04,PECES EXTRES O FALTANTS,ALLAU,1,0.21,18.17,23.0,18.17,23.0
FRA 263,2023-04-04,BARANA COMPLETA,ALLAU,1,0.21,55.3,70.0,55.3,70.0
FRA 263,2023-04-04,PECES FINESTRA GÜELL,ALLAU,1,0.21,33.18,42.0,33.18,42.0
FRA 263,2023-04-04,MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 262,2023-04-04,AMERICANA,CHOPO,2,0.21,3.63,4.6,7.27,9.2
FRA 261,2023-04-03,BOSSA ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 261,2023-04-03,"DF810 ESCALA EN ""V""",STREETS AHEAD,1,0.21,4.27,5.4,4.27,5.4
FRA 261,2023-04-03,LE CREUSET GROGA,VARIS,1,0.21,2.37,3.0,2.37,3.0
FRA 261,2023-04-03,"COSI ""ZINC"" OVALAT",CREAL,1,0.21,3.24,4.1,3.24,4.1
FRA 261,2023-04-03,PAELLA,CREAL,1,0.21,3.08,3.9,3.08,3.9
FRA 260,2023-04-03,IMG65404 LLAPISSOS,AZTEC,1,0.21,5.13,6.5,5.13,6.5
FRA 260,2023-04-03,MSC 14L,ALLAU,1,0.21,7.86,9.95,7.86,9.95
FRA 260,2023-04-03,DP204 SR. LLEGINT,STREETS AHEAD,1,0.21,9.4,11.9,9.4,11.9
FRA 259,2023-04-03,75022 SET BANY,CREAL,1,0.21,1.74,2.2,1.74,2.2
FRA 259,2023-04-03,75500 BOL OUS,CREAL,1,0.21,2.21,2.8,2.21,2.8
FRA 259,2023-04-03,72382 COBERTS,CREAL,1,0.21,4.19,5.3,4.19,5.3
FRA 258,2023-04-03,BEF141 CASITA PERRO,STREETS AHEAD,1,0.21,3.56,4.5,3.56,4.5
FRA 257,2023-04-03,31002 SOFÀ,CREAL,1,0.21,19.43,24.6,19.43,24.6
FRA 256,2023-03-31,D1563 SET BLAU,STREETS AHEAD,1,0.21,6.48,8.2,6.48,8.2
FRA 256,2023-03-31,PLAT ,STREETS AHEAD,2,0.21,1.19,1.5,2.37,3.0
FRA 255,2023-03-31,75520 CAIXA REGISTRADORA,CREAL,1,0.21,4.5,5.7,4.5,5.7
FRA 255,2023-03-31,2919 CONSOLA,STREETS AHEAD,1,0.21,15.09,19.1,15.09,19.1
FRA 255,2023-03-31,DF273 M MOSTRADOR,STREETS AHEAD,1,0.21,11.06,14.0,11.06,14.0
FRA 254,2023-03-30,BOSSA ,ROSA,1,0.21,0.08,0.1,0.08,0.1
FRA 254,2023-03-30,MOBLE BANY,VARIS,1,0.21,12.25,15.5,12.25,15.5
FRA 253,2023-03-30,PARELL MENSULES,ALLAU,2,0.21,1.42,1.8,2.84,3.6
FRA 253,2023-03-30,879839 PAPER PARET,CREAL,1,0.21,3.24,4.1,3.24,4.1
FRA 253,2023-03-30,76291 PARAGÜERO,CREAL,1,0.21,3.71,4.7,3.71,4.7
FRA 253,2023-03-30,PARELL MENSULES,ALLAU,4,0.21,1.42,1.8,5.69,7.2
FRA 253,2023-03-30,71708 LLISTÓ,CREAL,1,0.21,1.74,2.2,1.74,2.2
FRA 253,2023-03-30,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 252,2023-03-30,79837 E. ESCAMOTEABLE,CREAL,1,0.21,18.33,23.2,18.33,23.2
FRA 252,2023-03-30,79837 E. ESCAMOTEABLE,CREAL,1,0.21,16.59,21.0,16.59,21.0
FRA 252,2023-03-30,"CASA EN ""L""",VARIS,1,0.21,276.5,350.0,276.5,350.0
FRA 252,2023-03-30,RESTA MALIBÚ,STREETS AHEAD,1,0.21,442.4,560.0,442.4,560.0
FRA 251,2023-03-30,DOSIFICADOR COLA,VARIS,1,0.21,1.19,1.5,1.19,1.5
FRA 251,2023-03-30,LLIBRE 2 JACOMINIS,JACOMINIS,1,0.21,22.91,29.0,22.91,29.0
FRA 250,2023-03-29,BOLSA  ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 250,2023-03-29,SILLA DISEÑO (GHOST),STREETS AHEAD,1,0.21,13.83,17.5,13.83,17.5
FRA 250,2023-03-29,CRISTAL VARIOS (8 PCS),VARIS,1,0.21,52.38,66.3,52.38,66.3
FRA 250,2023-03-29,SOPORTE CONDENSADOR,VARIS,1,0.21,11.22,14.2,11.22,14.2
FRA 250,2023-03-29,SOPORTE LABORATORIO,VARIS,1,0.21,48.19,61.0,48.19,61.0
FRA 249,2023-03-28,DOSIFICADOR COLA,VARIS,1,0.21,1.19,1.5,1.19,1.5
FRA 249,2023-03-28,DESPATX DIORAMA,ALLAU,1,0.21,20.54,26.0,20.54,26.0
FRA 249,2023-03-28,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 248,2023-03-28,FULL DECORACIONS,STREETS AHEAD,1,0.21,1.19,1.5,1.19,1.5
FRA 248,2023-03-28,BUST P. ALBERT,STREETS AHEAD,1,0.21,5.29,6.7,5.29,6.7
FRA 248,2023-03-28,BUST DONA,AZTEC,1,0.21,9.88,12.5,9.88,12.5
FRA 248,2023-03-28,2 VITRINAS,ALLAU,1,0.21,33.18,42.0,33.18,42.0
FRA 248,2023-03-28,AMERICANA,CHOPO,1,0.21,3.63,4.6,3.63,4.6
FRA 248,2023-03-28,2 MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 247,2023-03-28,75197 ESPEJO,CREAL,1,0.21,2.37,3.0,2.37,3.0
FRA 247,2023-03-28,75402 M. OVAL,CREAL,1,0.21,1.26,1.6,1.26,1.6
FRA 247,2023-03-28,75401 M. OVAL,CREAL,1,0.21,1.26,1.6,1.26,1.6
FRA 247,2023-03-28,BIOMBO,STREETS AHEAD,1,0.21,9.48,12.0,9.48,12.0
FRA 246,2023-03-28,AMERICANA,CHOPO,1,0.21,3.63,4.6,3.63,4.6
FRA 246,2023-03-28,NYK 02,ALLAU,2,0.21,4.7,5.95,9.4,11.9
FRA 246,2023-03-28,MAONS LATERALS,ALLAU,2,0.21,23.7,30.0,47.4,60.0
FRA 246,2023-03-28,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 245,2023-03-28,MSC 20,ALLAU,1,0.21,5.49,6.95,5.49,6.95
FRA 245,2023-03-28,D1170 CAIXES GALETES (X3),STREETS AHEAD,1,0.21,5.37,6.8,5.37,6.8
FRA 245,2023-03-28,73994 CAIXES NADAL (X3),CREAL,1,0.21,4.11,5.2,4.11,5.2
FRA 245,2023-03-28,D1958 MARC BUIT,STREETS AHEAD,1,0.21,1.5,1.9,1.5,1.9
FRA 245,2023-03-28,D1957 MARC BUIT (X2),STREETS AHEAD,1,0.21,3.56,4.5,3.56,4.5
FRA 245,2023-03-28,D1964 MARC BUIT,STREETS AHEAD,1,0.21,3.48,4.4,3.48,4.4
FRA 245,2023-03-28,75195 MARC BUIT,CREAL,4,0.21,1.58,2.0,6.32,8.0
FRA 245,2023-03-28,71012 MARC OVALAT,CREAL,1,0.21,1.5,1.9,1.5,1.9
FRA 245,2023-03-28,79853 BARROT INICI,CREAL,2,0.21,1.82,2.3,3.63,4.6
FRA 245,2023-03-28,79860 BARROTS,CREAL,2,0.21,4.35,5.5,8.69,11.0
FRA 245,2023-03-28,79641 PASAMANS,Total,2,0.21,2.29,2.9,4.58,5.8
FRA 244,2023-03-27,MAQUINA DE COSIR,CREAL,1,0.21,7.9,10.0,7.9,10.0
FRA 244,2023-03-27,ALFOMBRA,CREAL,1,0.21,6.32,8.0,6.32,8.0
FRA 244,2023-03-27,BANC COSTUMITZAT,CAROL,1,0.21,43.45,55.0,43.45,55.0
FRA 244,2023-03-27,NINA M. NARBON,STOCK DRAP,1,0.21,154.05,195.0,154.05,195.0
FRA 244,2023-03-27,CONJUNT AIDA PRAVIA,STOCK DRAP,1,0.21,549.05,695.0,549.05,695.0
FRA 244,2023-03-27,SRA. M. NARBON,STOCK DRAP,1,0.21,134.3,170.0,134.3,170.0
FRA 244,2023-03-27,MOBLE CALAIXOS,STOCK DRAP,1,0.21,23.7,30.0,23.7,30.0
FRA 244,2023-03-27,CONJUNT BRESSOL + CANVIADOR,CAROL,1,0.21,98.75,125.0,98.75,125.0
FRA 244,2023-03-27,RELLOTGE DE PEU,CREAL,1,0.21,64.78,82.0,64.78,82.0
FRA 244,2023-03-27,SOFÀ,VEGA,1,0.21,38.71,49.0,38.71,49.0
FRA 244,2023-03-27,BUTACA,VEGA,1,0.21,37.92,48.0,37.92,48.0
FRA 244,2023-03-27,2 CADIRES ,CREAL,2,0.21,20.54,26.0,41.08,52.0
FRA 244,2023-03-27,TAULA OVALADA,CREAL,1,0.21,41.08,52.0,41.08,52.0
FRA 244,2023-03-27,LLAR DE FOC,STOCK DRAP,1,0.21,71.89,91.0,71.89,91.0
FRA 244,2023-03-27,MINYONA,CAROL,1,0.21,94.8,120.0,94.8,120.0
FRA 243,2023-03-24,BISAGRAS + TORNILLOS,VARIS,1,0.21,9.88,12.5,9.88,12.5
FRA 243,2023-03-24,BUTACA/SILLA ESCRITORIO,ALLAU,1,0.21,7.86,9.95,7.86,9.95
FRA 243,2023-03-24,EMBELLECEDOR LATERAL,ALLAU,1,0.21,38.71,49.0,38.71,49.0
FRA 243,2023-03-24,AZOTEA,ALLAU,1,0.21,34.76,44.0,34.76,44.0
FRA 242,2023-03-24,BROCHAS,CREAL,1,0.21,2.84,3.6,2.84,3.6
FRA 242,2023-03-24,BROCHAS,CREAL,1,0.21,3.08,3.9,3.08,3.9
FRA 242,2023-03-24,HACHA,CREAL,1,0.21,1.5,1.9,1.5,1.9
FRA 242,2023-03-24,PALETILLA,CREAL,1,0.21,1.42,1.8,1.42,1.8
FRA 242,2023-03-24,PALETILLA,CREAL,1,0.21,1.42,1.8,1.42,1.8
FRA 242,2023-03-24,72320 SIERRA,CREAL,1,0.21,2.45,3.1,2.45,3.1
FRA 242,2023-03-24,72320 SIERRA,CREAL,1,0.21,2.45,3.1,2.45,3.1
FRA 242,2023-03-24,TABLERO AJEDREZ,CREAL,1,0.21,1.5,1.9,1.5,1.9
FRA 242,2023-03-24,CONSERVAS,STREETS AHEAD,1,0.21,6.24,7.9,6.24,7.9
FRA 242,2023-03-24,CONSERVAS,STREETS AHEAD,1,0.21,6.24,7.9,6.24,7.9
FRA 242,2023-03-24,FLOWER SOFT,VARIS,1,0.21,3.67,4.65,3.67,4.65
FRA 242,2023-03-24,16001,IRIGINALS,1,0.21,4.15,5.25,4.15,5.25
FRA 242,2023-03-24,16001,IRIGINALS,1,0.21,4.15,5.25,4.15,5.25
FRA 242,2023-03-24,CABAÑA,ALLAU,1,0.21,3.91,4.95,3.91,4.95
FRA 242,2023-03-24,CABAÑA,ALLAU,1,0.21,3.91,4.95,3.91,4.95
FRA 242,2023-03-24,FLOWER SOFT,VARIS,1,0.21,4.11,5.2,4.11,5.2
FRA 242,2023-03-24,FLOWER SOFT,VARIS,1,0.21,4.11,5.2,4.11,5.2
FRA 242,2023-03-24,CARRITO MADERA,VEGA,1,0.21,3.4,4.3,3.4,4.3
FRA 242,2023-03-24,COCHECITO ROJO,VEGA,1,0.21,2.29,2.9,2.29,2.9
FRA 242,2023-03-24,COCHECITO ROJO,VEGA,1,0.21,2.29,2.9,2.29,2.9
FRA 242,2023-03-24,COCHECITO ROJO,VEGA,1,0.21,2.29,2.9,2.29,2.9
FRA 242,2023-03-24,COLA FLOWER SOFT,VARIS,1,0.21,2.77,3.5,2.77,3.5
FRA 241,2023-03-24,BOSSA ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 241,2023-03-24,2219 LAMP. SOSTRE LED,CREAL,1,0.21,11.14,14.1,11.14,14.1
FRA 241,2023-03-24,GERONI,CREAL,1,0.21,4.35,5.5,4.35,5.5
FRA 241,2023-03-24,CACTUS,VARIS,1,0.21,3.0,3.8,3.0,3.8
FRA 240,2023-03-24,COCACOLA,VARIS,3,0.21,0.79,1.0,2.37,3.0
FRA 240,2023-03-24,BARRA BAR,CREAL,1,0.21,22.12,28.0,22.12,28.0
FRA 239,2023-03-23,MONTATGE DIORAMA,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 238,2023-03-23,RELLOTGE PARET,VARIS,1,0.21,11.06,14.0,11.06,14.0
FRA 238,2023-03-23,CISTELLA,CREAL,3,0.21,1.66,2.1,4.98,6.300000000000001
FRA 238,2023-03-23,PLAT ,STREETS AHEAD,2,0.21,1.19,1.5,2.37,3.0
FRA 238,2023-03-23,OSITO MARRÓN,CREAL,1,0.21,1.26,1.6,1.26,1.6
FRA 238,2023-03-23,TRANSISTOR,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 238,2023-03-23,MSC 023,ALLAU,1,0.21,3.12,3.95,3.12,3.95
FRA 238,2023-03-23,75991 TEST LLARG,CREAL,5,0.21,0.87,1.1,4.35,5.5
FRA 238,2023-03-23,2661 SRA. GRAN,CREAL,1,0.21,7.74,9.8,7.74,9.8
FRA 238,2023-03-23,EXPOSITOR GIRATORI MONTAT,CARME,1,0.21,26.86,34.0,26.86,34.0
FRA 238,2023-03-23,REGLETA DE 12,CREAL,1,0.21,11.22,14.2,11.22,14.2
FRA 237,2023-03-23,76955 TELESCOPIO,CREAL,1,0.21,3.16,4.0,3.16,4.0
FRA 237,2023-03-23,76250 BINOCLES,CREAL,1,0.21,2.05,2.6,2.05,2.6
FRA 237,2023-03-23,CANELOBRES (X2),STREETS AHEAD,1,0.21,4.58,5.8,4.58,5.8
FRA 237,2023-03-23,23701 RACONER,VEGA,1,0.21,10.9,13.8,10.9,13.8
FRA 237,2023-03-23,TINT CIRERER,CHOPO,1,0.21,3.95,5.0,3.95,5.0
FRA 236,2023-03-22,BOSSA ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 236,2023-03-22,BEF081 CARRETÓ,STREETS AHEAD,1,0.21,5.29,6.7,5.29,6.7
FRA 236,2023-03-22,"GALLEDA ""ZINC""",CREAL,1,0.21,2.29,2.9,2.29,2.9
FRA 236,2023-03-22,72202 2 GALLEDES,CREAL,1,0.21,2.37,3.0,2.37,3.0
FRA 236,2023-03-22,71997 CANYA PESCAR,CREAL,1,0.21,2.37,3.0,2.37,3.0
FRA 236,2023-03-22,COTXET VERMELL,VEGA,1,0.21,2.29,2.9,2.29,2.9
FRA 235,2023-03-22,GUITARRA BLANCA,STREETS AHEAD,1,0.21,12.64,16.0,12.64,16.0
FRA 234,2023-03-22,BESTRETA MALIBÚ + SUN LOUNGE,STREETS AHEAD,1,0.21,79.0,100.0,79.0,100.0
FRA 233,2023-03-21,22728 U TORNEJATS PORXO,VEGA,1,0.21,6.64,8.4,6.64,8.4
FRA 233,2023-03-21,5921 BUST P. ALBERTO,STREETS AHEAD,1,0.21,5.29,6.7,5.29,6.7
FRA 233,2023-03-21,24965 LAMP. SOSTRE,CREAL,1,0.21,44.32,56.1,44.32,56.1
FRA 233,2023-03-21,24936 LAMP. SOSTRE,CREAL,2,0.21,13.27,16.8,26.54,33.6
FRA 233,2023-03-21,24874 LAMP. SOSTRE,CREAL,1,0.21,9.72,12.3,9.72,12.3
FRA 233,2023-03-21,2458 LAMP. PARET,CREAL,1,0.21,11.93,15.1,11.93,15.1
FRA 233,2023-03-21,ATRIL FOTO,STOCK DRAP,1,0.21,3.95,5.0,3.95,5.0
FRA 233,2023-03-21,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 232,2023-03-21,FILIGRANES (X3),ALLAU,1,0.21,3.63,4.6,3.63,4.6
FRA 232,2023-03-21,TALL FINESTRA,ALLAU,1,0.21,4.74,6.0,4.74,6.0
FRA 232,2023-03-21,ATRIL FOTO,STOCK DRAP,1,0.21,3.95,5.0,3.95,5.0
FRA 232,2023-03-21,APLICADOR DISTRESS,VARIS,1,0.21,3.71,4.7,3.71,4.7
FRA 232,2023-03-21,DISTRESS,VARIS,1,0.21,7.51,9.5,7.51,9.5
FRA 232,2023-03-21,MDM 06,ALLAU,1,0.21,28.4,35.95,28.4,35.95
FRA 232,2023-03-21,ALFOMBRA,VARIS,1,0.21,13.11,16.6,13.11,16.6
FRA 232,2023-03-21,ARTIS,DAYKA,1,0.21,3.63,4.6,3.63,4.6
FRA 232,2023-03-21,LLIBRE POP UP,OLGA,2,0.21,15.8,20.0,31.6,40.0
FRA 232,2023-03-21,LLIBRE,OLGA,1,0.21,23.7,30.0,23.7,30.0
FRA 232,2023-03-21,CAIXA 2 LLIBRES,OLGA,1,0.21,39.5,50.0,39.5,50.0
FRA 232,2023-03-21,MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 231,2023-03-21,2 PECES LASER (DIBUIX + TALL),ALLAU,1,0.21,6.32,8.0,6.32,8.0
FRA 231,2023-03-21,MONA OU PETIT,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 231,2023-03-21,MONA OU GRAN,CAROL,1,0.21,22.12,28.0,22.12,28.0
FRA 231,2023-03-21,PASAMANS (79706),CREAL,1,0.21,2.77,3.5,2.77,3.5
FRA 231,2023-03-21,DIY763A,STREETS AHEAD,1,0.21,5.06,6.4,5.06,6.4
FRA 231,2023-03-21,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 230,2023-03-20,72210 REGADORA,CREAL,1,0.21,2.45,3.1,2.45,3.1
FRA 230,2023-03-20,71340 SET JARDI VERD,CREAL,1,0.21,2.61,3.3,2.61,3.3
FRA 230,2023-03-20,73061 BICICLETA VERMELLA,CREAL,1,0.21,3.79,4.8,3.79,4.8
